id longitude latitude
1 36.8736 164.4075
2 103.2351 2.8655
3 160.9237 84.2651
4 87.0804 74.1323
5 149.2198 43.7029
6 82.5733 157.9162
7 72.4207 150.8626
8 41.0786 6.8942
9 74.4860 59.9706
10 187.5625 15.9823
11 68.5705 17.1968
12 24.0678 169.6420
13 96.7802 98.8453
14 93.5991 83.1682
15 150.2570 23.9362
16 99.0283 175.1963
17 87.6591 191.4059
18 28.8597 117.4547
19 12.9556 191.5647
20 180.1661 47.8282
21 77.5576 172.1170
22 188.7376 4.0877
23 157.1571 100.9607
24 177.4595 38.1798
25 20.2471 161.1485
26 116.1622 104.7582
27 53.1502 37.8077
28 49.6643 82.6804
29 135.4803 112.4778
30 195.4545 184.4798
31 70.3178 167.2410
32 38.4350 136.3628
33 64.9779 119.1829
34 57.3778 70.0710
35 131.1033 155.1377
36 6.2178 57.9866
37 126.9147 17.3312
38 143.0375 44.1469
39 99.8046 102.4561
40 50.5717 176.3758
41 4.0594 79.8705
42 124.2878 28.5275
43 166.3496 109.0306
44 17.5750 116.8751
45 50.7258 41.9295
46 128.3009 60.9698
47 135.2125 33.2285
48 186.9711 116.8323
49 53.6922 148.9326
50 163.9545 19.1273
51 179.6241 63.8744
52 51.7123 109.0133
53 132.2427 168.9359
54 197.6958 195.6460
55 71.2343 170.8500
56 164.5566 101.8549
57 112.4896 160.5910
58 176.5350 178.3011
59 145.3829 150.7729
60 74.3738 35.4624
61 161.1311 38.1422
62 145.8277 139.0824
63 112.1339 34.1638
64 24.8172 142.2584
65 113.8021 24.8638
66 59.5009 86.1325
67 73.2304 70.5058
68 138.0179 91.1882
69 183.1721 136.3434
70 130.3787 82.4462
71 155.1266 157.6030
72 55.9567 44.3891
73 181.9498 85.0179
74 18.2648 85.2362
75 18.2521 31.6455
76 62.1706 5.2286
77 45.9467 47.3679
78 3.4374 109.8710
79 152.6656 184.3850
80 156.4500 86.6197
81 92.3599 185.1775
82 143.2128 72.2926
83 120.2544 123.8296
84 5.1836 178.5169
85 98.4269 62.2646
86 59.2344 113.8191
87 153.6346 44.8622
88 140.0050 143.5016
89 135.6111 148.0893
90 53.1430 62.2383
91 171.9103 26.1898
92 27.4005 119.3616
93 144.4732 49.6455
94 98.2842 133.1004
95 123.4465 120.0295
96 81.9311 157.5719
97 85.3841 163.0431
98 105.1105 25.1130
99 15.8117 150.9373
100 145.7278 76.5823
101 150.2379 86.1854
102 107.9329 13.5478
103 43.0487 90.1871
104 6.9138 58.8184
105 170.3181 183.9499
106 70.6789 95.5628
107 70.4268 122.1041
108 179.6127 170.3022
109 5.4754 147.2771
110 59.3132 91.3480
111 186.8344 168.7607
112 18.1958 31.7991
113 149.7737 37.5748
114 178.5774 54.9994
115 84.9657 89.4406
116 88.4276 120.3962
117 38.7577 157.8433
118 120.7044 199.0292
119 79.4604 21.2767
120 168.1640 30.4196
121 193.5023 141.9277
122 23.7647 186.4162
123 23.1502 177.4700
124 100.2598 72.5960
125 186.5968 103.3047
126 187.2996 94.1052
127 31.5706 69.4948
128 170.3427 40.3654
129 65.2216 134.8086
130 42.8990 1.8597
131 175.8915 169.6979
132 132.1082 22.2508
133 116.4738 100.7040
134 27.3787 10.3750
135 154.4265 80.6959
136 52.7937 189.1913
137 110.0970 112.5106
138 56.2142 142.5580
139 2.8730 127.9792
140 1.4864 135.7448
141 3.7730 129.9867
142 144.8876 31.8794
143 153.4434 142.1270
144 52.9221 4.0666
145 146.1297 178.6783
146 175.8023 151.7052
147 3.0400 47.0407
148 129.4312 69.5703
149 62.6234 125.4379
150 58.4241 189.5135
151 0.6331 120.6018
152 53.6880 117.1768
153 159.4507 3.3227
154 180.3022 19.9021
155 113.9955 44.1600
156 34.9186 187.0580
157 130.6460 127.2749
158 96.6294 180.2953
159 185.9526 107.2582
160 61.2256 118.7815
161 103.5217 91.9925
162 55.9946 3.2529
163 140.3020 184.0007
164 120.6844 172.7625
165 7.6071 193.3968
166 9.9866 9.2911
167 47.5596 147.4709
168 23.8674 57.9285
169 102.2414 65.1013
170 4.3034 14.1186
171 110.6898 38.6039
172 50.4530 144.5046
173 47.9785 171.2901
174 99.0246 54.1964
175 80.9734 155.9216
176 92.5752 90.8239
177 156.9584 47.4112
178 15.7027 84.5263
179 64.1719 82.5358
180 17.5704 163.0701
181 107.4031 30.0903
182 158.9290 52.5739
183 127.1430 116.8248
184 22.7772 176.8591
185 57.3907 67.6729
186 110.0312 2.2349
187 165.0641 23.1919
188 5.0455 39.5643
189 143.0676 52.7998
190 140.5588 111.7469
191 139.4204 69.3095
192 17.6117 122.2935
193 196.4509 168.4219
194 143.2117 19.4572
195 46.9125 166.2569
196 136.9958 140.4228
197 167.9810 188.6624
198 27.8697 41.3494
199 29.4415 177.9576
200 112.5765 71.5936
